–Ú∫≈,‘§≤‚,’Ê µ÷µ
530,5.0019274,5
531,8.315891,9.244125
532,5.469102,5
533,5.1236873,5.337242
534,5.0019274,5
535,6.337411,6.537602
536,5.078366,5.6382723
537,5.0019274,5
538,5.0019274,5
539,5.0019274,5
540,5.0030518,5
541,5.472572,6.0222764
542,5.9424024,6.004365
543,5.0019274,5
544,5.0019274,5
545,5.2659287,5.29243
546,5.0019274,5
547,5.100924,5
548,5.0019274,5
549,5.0023475,5
550,5.0019274,5
551,5.6936398,6.958607
552,5.869937,5.6382723
553,5.0019274,5
554,5.0019274,5
555,5.0019274,5
556,5.0181913,5
557,5.0019274,5
558,5.0020785,5
559,5.0019274,5
560,5.012522,5
561,5.995897,6.070581
562,6.224453,6.39794
563,5.0019274,5
564,5.0019274,5
565,5.531953,5.69897
566,8.315891,9.180456
567,9.199575,9.552842
568,5.0019274,5
569,5.0019274,5
570,5.0025644,5
571,8.222503,8.468521
572,5.0019274,5
573,5.0019274,5
574,5.0061727,5
575,5.0019274,5
576,6.0734634,6.1739254
577,5.0019274,5
578,5.0019274,5
579,5.003357,5
580,5.0019274,5
581,5.0019274,5
582,5.0019274,5
583,8.101692,8.769551
584,5.22873,5.4317985
585,5.0019274,5
586,5.0019274,5
587,5.0019274,5
588,7.967181,8.366531
589,5.0019274,5
590,5.0019274,5
591,9.595342,10.065501
592,5.7283516,5.823909
593,5.0019274,5
594,6.6159954,6.69897
595,6.9835978,7.229148
596,5.0619116,5.4317985
597,5.0019274,5
598,5.0019274,5
599,5.0019274,5
600,5.0019274,5
601,6.5375223,6.49485
602,6.7067986,7.086186
603,5.007517,5
604,5.0019274,5
605,5.845208,5.8860564
606,5.0019274,5
607,5.0019274,5
608,6.144491,6.455932
609,7.89349,8.045757
610,5.0019274,5
611,6.0215464,6.207608
612,5.0019274,5
613,5.0019274,5
614,5.0019274,5
615,5.0019274,5
616,6.8756094,6.958607
617,5.0019274,5
618,6.379293,6.376751
619,5.007512,5
620,6.0427103,6.4436975
621,5.0027475,5
622,5.0019274,5
623,5.0019274,5
624,5.0019274,5
625,5.0019274,5
626,5.926924,6.6575775
627,5.0019274,5
628,6.259204,6.60206
629,5.4334354,5.4317985
630,5.0019274,5
631,5.0019274,5
632,6.750187,7.387216
633,5.0019274,5
634,5.0019274,5
635,5.0019274,5
636,5.0019274,5
637,5.0034494,5
638,5.0332475,5
639,5.095153,5.2441254
640,5.0019274,5
641,5.0019274,5
642,5.0019274,5
643,8.014217,8.21467
644,5.0019274,5
645,5.0019274,5
646,5.0019274,5
647,5.0019274,5
648,5.0019274,5
649,5.3827534,5.5086384
650,7.09684,7.376751
651,5.0019274,5
652,5.01065,5
653,5.576285,5.6382723
654,5.0019274,5
655,5.758038,5.8860564
656,5.0019274,5
657,5.0019274,5
658,5.0019274,5
659,5.0019274,5
660,6.367793,6.49485
661,5.0019274,5
662,5.0019274,5
663,5.0019274,5
664,5.0019274,5
665,5.0019274,5
666,5.0019274,5
667,5.0019274,5
668,5.0019274,5
669,5.00215,5
670,7.220358,7.376751
671,5.0019274,5
672,5.0019274,5
673,5.065188,5.207608
674,5.0019274,5
675,5.0019274,5
676,5.0019274,5
677,5.0019274,5
678,5.0019274,5
679,5.628061,5.6777806
680,5.0019274,5
681,6.97191,7
682,5.0019274,5
683,5.857937,6.05061
684,5.472572,5.3565474
685,6.076903,6.221849
686,5.0019274,5
687,6.912715,6.3665314
688,5.0019274,5
689,5.809625,5.920819
690,5.3259597,5.4089355
691,7.608093,7.468521
692,5.0019274,5
693,7.3260427,7.5228786
694,5.1541157,5.5686364
695,5.003791,5
696,5.0019274,5
697,5.0019274,5
698,5.2264085,5
699,5.0019274,5
700,6.770993,6.6777806
701,5.002952,5
702,6.2321186,6.2596374
703,5.0019274,5
704,5.0019274,5
705,5.0830703,5.154902
706,5.0019274,5
707,6.9237204,7.086186
708,5.0019274,5
709,5.0019274,5
710,5.0019274,5
711,5.0019274,5
712,6.310611,6.376751
713,6.546487,7.221849
714,5.774024,5.69897
715,5.0019274,5
716,7.0114813,7.5686364
717,5.0019274,5
718,5.0019274,5
719,6.5525045,6.4317985
720,5.08475,5.337242
721,5.0019274,5
722,6.0360613,6.21467
723,5.0019274,5
724,5.006187,5
725,5.0019274,5
726,5.022599,5
727,5.633387,5.7695513
728,5.769409,5.853872
729,5.0019274,5
730,7.3455024,7.7447276
731,5.0019274,5
732,4.9825974,5
733,5.0079775,5
734,5.0019274,5
735,5.0019274,5
736,5.0019274,5
737,5.0019274,5
738,5.0019274,5
739,5.0019274,5
740,5.0019274,5
741,5.4387465,5.537602
742,5.7136264,5.7447276
743,6.490435,6.6382723
744,5.0019274,5
745,5.0019274,5
746,5.0019274,5
747,6.5652757,6.69897
748,5.008871,5
749,5.0019274,5
750,5.1148696,5
751,5.0019274,5
752,5.2928147,5.3279023
753,5.3084955,5.4436975
754,5.0019274,5
755,6.1215405,6.1307683
756,5.0019274,5
757,5.0019274,5
758,5.004554,5
759,5.0019274,5
760,5.0019274,5
761,6.4404087,6.958607
762,5.0019274,5
763,5.0019274,5
764,8.441285,8.387217
765,5.0019274,5
766,5.4974933,5.6777806
767,5.019711,5
768,5.0019274,5
769,5.253957,5.5228786
770,5.0019274,5
771,5.6526294,5
772,5.0019274,5
773,6.5803814,6.6382723
774,5.0019274,5.0409584
775,5.8562517,5.920819
776,6.0870204,6.2006593
777,5.0019274,5
778,5.0019274,5
779,5.0019274,5
780,5.0019274,5
781,6.520507,6.6575775
782,5.1930065,5
783,6.1027365,6.161151
784,5.0019274,5
785,5.0019274,5
786,5.0019274,5
787,5.0019274,5
788,5.0019274,5
789,5.0019274,5
790,6.654045,5
791,5.647161,5.69897
792,5.0019274,5
793,5.0019274,5
794,5.0019274,5
795,5.0019274,5
796,5.0019274,5
797,5.0019274,5
798,5.0019274,5
799,5.018518,5
800,5.837463,5.920819
801,5.0019274,5
802,5.0019274,5
803,5.0019274,5
804,5.0019274,5
805,5.0019274,5
806,6.604285,6.853872
807,5.0019274,5
808,5.0019274,5
809,5.0019274,5
810,5.0019274,5
811,5.2268887,5.3279023
812,5.0019274,5
813,5.0019274,5
814,7.7865424,8.366531
815,5.0019274,5
816,5.0019274,5
817,7.022087,6.7695513
818,7.4361954,7.7695513
819,5.0019274,5
820,5.0019274,5
821,5.0019274,5
822,5.0019274,5
823,5.0019274,5
824,5.212289,5.3467875
825,5.0019274,5
826,6.195429,6.221849
827,5.987709,6.1366773
828,5.4596705,5.3279023
829,5.0019274,5
830,5.0046644,5.221849
831,5.0019274,5
832,5.0019274,5
833,5.012646,5
834,5.0019274,5
835,5.0019274,5
836,5.6794386,5.958607
837,5.0019274,5
838,5.0019274,5
839,5.0019274,5
840,5.003989,5
841,5.0059795,5
842,5.008987,5
843,5.0019274,5
844,5.0537786,5.2006593
845,5.0019274,5
846,5.1021576,5
847,6.55564,6.7212462
848,5.0019274,5
849,5.0019274,5
850,5.5456157,5.5850267
851,4.995717,5
852,6.284766,6.39794
853,5.0019274,5
854,5.110986,5.229148
855,5.0019274,5
856,5.0019274,5
857,5.0019274,5
858,5.784786,5.8860564
859,5.0103908,5
860,5.0019274,5
861,5.0019274,5
862,5.0326557,5
863,5.5736203,5.6777806
864,6.5711594,6.552842
865,5.0019274,5
866,5.0019274,5
867,5.0019274,5
868,5.0019274,5
869,5.0019274,5
870,5.0019274,5
871,5.0019274,5
872,5.572097,6.1870866
873,8.50572,8.39794
874,5.0019274,5
875,5.6709747,5.69897
876,5.002388,5
877,6.966319,7.30103
878,6.5323477,6.6777806
879,5.0019274,5
880,5.0019274,5
881,5.0019274,5
882,5.0019274,5
883,5.00941,5
884,5.0019274,5
885,5.078366,5
886,5.0096307,5
887,5.6660438,5.8860564
888,5.520927,5.537602
889,5.0019274,5
890,5.0137725,5
891,5.0019274,5
892,6.7981696,7.080922
893,5.0019274,5
894,5.01552,5
895,5.514965,5.537602
896,7.607123,7.823909
897,6.394942,6.552842
898,6.01048,6.113509
899,5.5875187,5.6382723
900,5.003343,5
901,5.0058208,5
902,5.0019274,5
903,5.002631,5
904,5.172488,5.275724
905,5.0019274,5
906,5.0019274,5
907,5.2289176,5.3279023
908,5.0019274,5
909,6.140687,6.4202166
910,7.5809855,7.79588
911,5.0019274,5
912,5.151384,5.2441254
913,5.594074,5.5850267
914,5.002203,5
915,5.7149568,5.920819
916,8.677426,9
917,7.8671336,8.004365
918,5.0019274,5
919,5.0019274,5
920,5.0019274,5
921,5.6286287,5.6777806
922,5.0019274,5
923,8.240939,8.20066
924,5.0019274,5
925,5.0019274,5
926,5.174357,5
927,5.0019274,5
928,5.0125318,5
929,5.0019274,5
930,5.0019274,5
931,5.3939295,5.3565474
932,5.0019274,5
933,7.1158686,7.4202166
934,7.092644,7.7447276
935,5.0019274,5
936,5.1008406,5.6777806
937,5.0019274,5
938,5.0019274,5
939,6.8816957,7
940,6.146141,6.4202166
941,5.551002,5.69897
942,6.603039,6.6382723
943,5.0019274,5
944,5.0022345,5
945,8.10989,8.552842
946,6.2896233,6.318759
947,5.0019274,5
948,5.0019274,5
949,5.0019274,5
950,5.0019274,5
951,5.0019274,5
952,5.0019274,5
953,5.0019274,5
954,5.0019274,5
955,5.0019274,5
956,5.889906,6
957,5.5964327,5.7695513
958,5.0019274,5
959,5.0019274,5
960,5.0019274,5
961,5.0030127,5
962,5.0019274,5
963,5.0019274,5
964,5.0019274,5
965,5.160166,5
966,5.0019274,5
967,4.9986734,5
968,5.0019274,5
969,5.002749,5
970,6.1836157,6.3565474
971,5.0019274,5
972,5.0019274,5
973,5.5929265,5
974,6.127284,6.113509
975,5.0019274,5
976,5.0019274,5
977,8.662991,9.431798
978,5.8970423,5.958607
979,5.0019274,5
980,5.0019274,5
981,5.0207343,5
982,5.0063014,5
983,5.942247,6.004365
984,5.0019274,5
985,5.0019274,5
986,6.691265,6.853872
987,5.143378,5.236572
988,5.0019274,5
989,7.538213,8.060481
990,5.0019274,5
991,5.0019274,5
992,5.0019274,5
993,7.6888323,8.136677
994,5.7264223,6.3467875
995,5.0019274,5
996,5.0019274,5
997,5.0019274,5
998,5.0019274,5
999,5.0019274,5
1000,5.0019274,5
1001,5.0019274,5
1002,5.2719903,5.1487417
1003,6.704376,7.3467875
1004,5.0019274,5
1005,5.8107944,5.823909
1006,5.0019274,5
1007,5.0019274,5
1008,5.0019274,5
1009,5.0019274,5
1010,5.0019274,5
1011,5.465636,5.537602
1012,5.762653,5.7695513
1013,5.008772,5
1014,5.0019274,5
1015,5.0019274,5
1016,5.0159664,5
1017,4.995008,5
1018,5.0019274,5
1019,5.0019274,5
1020,6.546487,5
1021,5.0019274,5
1022,5.0019274,5
1023,5.0019274,5
1024,5.0019274,5
1025,5.0019274,5
1026,5.0019274,5
1027,5.0019274,5
1028,7.8731275,8.60206
1029,5.0048246,5
1030,5.1432524,5
1031,5.0019274,5
1032,5.0019274,5
1033,5.007744,5
1034,5.0019274,5
1035,6.2835445,6.387216
1036,5.0019274,5
1037,5.119121,5
1038,5.0019274,5
1039,5.0019274,5
1040,5.0019274,5
1041,6.78378,6.958607
1042,5.0019274,5
1043,5.0019274,5
1044,5.0019274,5
1045,5.0019274,5
1046,5.0019274,5
1047,5.02208,5.5850267
1048,5.0019274,5
1049,5.0019274,5
1050,5.9597096,5.6777806
1051,5.0019274,5
1052,5.0019274,5
1053,5.8853865,5.7695513
1054,5.016164,5
1055,5.0179415,5
1056,5.0019274,5
1057,5.0019274,5
1058,6.3788857,6.337242
1059,5.0019274,5
1060,5.0019274,5
1061,5.0019274,5
1062,5.0019274,5
1063,5.0019274,5
1064,5.0019274,5
1065,5.0050735,5
1066,5.0019274,5
1067,5.0019274,5
1068,5.0019274,5
1069,5.0019274,5
1070,6.1070633,6.337242
1071,5.407079,5.5850267
1072,5.6434975,6.0604806
1073,5.0019274,5
1074,5.0019274,5
1075,5.0019274,5
1076,6.606382,6.823909
1077,5.0019274,5
1078,5.0493293,5
1079,5.0019274,5
1080,5.9779205,5.958607
1081,5.0019274,5
1082,5.0019274,5
1083,5.8173494,5.958607
1084,5.0019274,5
1085,5.0019274,5
1086,5.768043,5.958607
1087,5.0331073,5
1088,5.0019274,5
1089,5.0019274,5
1090,5.5653896,5.6382723
1091,5.0019274,5
1092,5.826229,5.920819
1093,5.0019274,5
1094,5.0019274,5
1095,5.678211,5.79588
1096,5.0019274,5
1097,5.0028405,5
1098,5.0106106,5
1099,6.4722767,6.537602
1100,5.016326,5
1101,5.0019274,5
1102,6.2382946,6.1307683
1103,5.0019274,5
1104,5.0019274,5
1105,5.0019274,5
1106,5.0019274,5
1107,5.0019274,5
1108,9.234765,10.387217
1109,6.9529624,7.004365
1110,4.9873037,5
1111,5.007584,5
1112,5.0019274,5
1113,5.0019274,5.075721
1114,5.0019274,5
1115,6.53362,6.6575775
1116,7.0217695,7.79588
1117,5.5767965,5.7447276
1118,5.0019274,5
1119,5.0019274,5
1120,5.0019274,5
1121,5.0069027,5
1122,5.0019274,5
1123,5.9263,5.958607
1124,5.0019274,5
1125,5.7935085,5.823909
1126,5.0019274,5
1127,5.0049224,5
1128,5.8038216,6.091515
1129,5.0019274,5
1130,5.0019274,5
1131,5.0019274,5
1132,6.935193,8.236572
1133,5.0019274,5
1134,5.0019274,5
1135,5.0127816,5
1136,5.0019274,5
1137,5.745477,5.79588
1138,5.0019274,5
1139,9.198158,9.585027
1140,5.0019274,5
1141,5.002289,5
1142,5.0019274,5
1143,5.0019274,5
1144,5.0019274,5
1145,5.0019274,5
1146,5.0254087,5
1147,5.0032277,5
1148,6.7613554,6.7695513
1149,5.0019274,5
1150,5.0019274,5
1151,5.5640335,5.468521
1152,5.0019274,5
1153,5.0019274,5
1154,5.425554,5.5850267
1155,5.0019274,5
1156,5.0019274,5.1870866
1157,5.0019274,5
1158,5.0019274,5
1159,5.071351,5
1160,5.0019274,5
1161,5.0019274,5
1162,5.0019274,5
1163,5.0019274,5
1164,5.0185814,5
1165,6.9331307,7.537602
1166,6.6692333,6.958607
1167,5.0019274,5
1168,5.0019274,5
1169,5.016209,5
1170,5.787901,5
1171,5.6463842,5.7695513
1172,6.772917,7.1426673
1173,5.0019274,5
1174,5.0019274,5
1175,5.0052075,5
1176,5.0019274,5
1177,5.0125675,5
1178,5.0019274,5
1179,5.0019274,5
1180,5.0019274,5
1181,5.7196865,5.7212462
1182,6.1244955,5.920819
1183,6.0508943,6.124939
1184,5.8693466,5.8860564
1185,5.0019274,5
1186,5.0019274,5
1187,5.0019274,5
1188,6.137139,6.30103
1189,5.0019274,5
1190,5.693259,5
1191,5.0019274,5
1192,5.0019274,5
1193,5.4964943,5.6382723
1194,6.791625,7.0222764
1195,6.8037343,7.031517
1196,5.0176606,5
1197,5.872925,5.853872
1198,4.9957976,5
1199,5.0019274,5
1200,5.0019274,5
1201,5.0019274,5
1202,5.0019274,5
1203,5.0019274,5
1204,8.049902,8.958608
1205,5.5570436,6.21467
1206,5.0026746,5
1207,5.0019274,5
1208,5.0019274,5
1209,6.1756163,5
1210,5.5737925,5.6777806
1211,5.0080576,5
1212,5.0019274,5
1213,6.550109,6.69897
1214,5.0019274,5
1215,5.563003,5.6382723
1216,6.797554,6.853872
1217,5.0019274,5
1218,5.0019274,5
1219,5.6395035,5.958607
1220,5.4058857,5
1221,5.0019274,5
1222,5.0112658,5
1223,5.4688525,5.49485
1224,5.595786,5.7695513
1225,5.0019274,5
1226,5.0019274,5
1227,8.243644,7.7695513
1228,6.044203,5.79588
1229,7.106486,7.2676063
1230,5.0019274,5
1231,5.0036364,5
1232,5.4278812,5.49485
1233,6.1155353,6.2596374
1234,6.621642,6.6197886
1235,6.7005305,5
1236,7.95671,9.1549015
1237,5.0019274,5
1238,5.440303,5.79588
1239,5.0019274,5
1240,5.7056565,5.853872
1241,5.0019274,5
1242,5.528343,5.6197886
1243,5.0019274,5
1244,5.0019274,5
1245,5.0019274,5
1246,5.0019274,5
1247,5.0026135,5
1248,5.0119114,5
1249,5.0019274,5
1250,5.4171257,5.5228786
1251,7.112381,7.537602
1252,6.2789025,6.1079054
1253,5.019557,5
1254,5.0019274,5
1255,5.0569777,5.086186
1256,5.0054727,5
1257,5.0019274,5
1258,5.0019274,5
1259,5.0019274,5
1260,7.8473635,9.508638
